Study;Drug;Time;DV ;DV_CHR;Time_unit;DV_unit;DV_type;Dose_mg;Frequency;n_subjects
Yu2020;Inotersen;0;21.10125092;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;1;20.16747609;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;1;19.87005151;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;1;19.57608536;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;2;19.27520235;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;1.780180735;18.98469463;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;2;18.75643856;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;2;18.53855776;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;3;17.64282561;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;3;17.42754687;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;4;17.17178808;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;4;17.01754231;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;4;16.8618171;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;4.419183854;16.65991853;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;5;16.26602649;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;6;16.12545523;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;7;15.9675029;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;8;15.62333579;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;8;15.45339535;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;8;15.3033491;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;8.613043698;15.12546147;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;8.005376048;25.87387785;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;8.994880659;14.94789297;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;9.501601637;14.77685515;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;9.802137701;14.594656;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;10.26669037;14.42896037;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;10.63066564;14.25750372;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;11.03847725;14.08556618;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;11.44634346;13.90818739;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;11.85411615;13.74012768;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;12.2619278;13.56818576;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;12.66977921;13.39228256;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;13.07757487;13.22193334;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;13.48532807;13.0558162;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;13.88024881;12.87577539;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;14.57576949;12.69738308;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;15.13305773;12.5240103;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;15.8143899;12.35441777;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;16;12.18992642;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;17;12.03523599;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;17;11.87070827;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;18;11.71195622;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;19;11.53922482;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;19;11.36068249;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;19.77438301;11.20541154;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;20;11.03444346;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;21;10.88779841;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;22;10.7334106;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;22;10.57609281;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;23;10.39966238;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;24;10.24570142;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;25;10.06779822;TTR;days;Absolute;OBS;300;Weekly;1
Yu2020;Inotersen;25.69903566;9.901486387;TTR;days;Absolute;OBS;300;Weekly;1
